ID,Name,Dex,Set,Era,Rarity,Artist,Image URL (High Res),TCGPlayer Market Link
me3-122,Jacinthe,,Perfect Order,Mega Evolution,Special Illustration Rare,Unknown,https://images.scrydex.com/pokemon/me3-122/large,https://prices.pokemontcg.io/tcgplayer/me3-122
sv1-250,Jacq,,Scarlet & Violet,Scarlet & Violet,Special Illustration Rare,Oswaldo KATO,https://images.pokemontcg.io/sv1/250_hires.png,https://prices.pokemontcg.io/tcgplayer/sv1-250
sv8pt5-173,Janine's Secret Art,,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/173_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-173
sv8-245,Jasmine's Gaze,,Surging Sparks,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8/245_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8-245
sv8pt5-174,Kieran,,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/174_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-174
sv6-218,Kieran,,Twilight Masquerade,Scarlet & Violet,Special Illustration Rare,Teeziro,https://images.pokemontcg.io/sv6/218_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6-218
sv8pt5-175,Lacey,,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/175_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-175
sv7-172,Lacey,,Stellar Crown,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv7/172_hires.png,https://prices.pokemontcg.io/tcgplayer/sv7-172
sv6-219,Lana's Aid,,Twilight Masquerade,Scarlet & Violet,Special Illustration Rare,Toshinao Aoki,https://images.pokemontcg.io/sv6/219_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6-219
me1-184,Lillie's Determination,,Mega Evolution,Mega Evolution,Special Illustration Rare,Unknown,https://images.pokemontcg.io/me1/184_hires.png,https://prices.pokemontcg.io/tcgplayer/me1-184
sv8-246,Lisia's Appeal,,Surging Sparks,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8/246_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8-246
me1-185,Lt. Surge's Bargain,,Mega Evolution,Mega Evolution,Special Illustration Rare,Unknown,https://images.pokemontcg.io/me1/185_hires.png,https://prices.pokemontcg.io/tcgplayer/me1-185
